operation,iteration,file_size_label,cpu_percent,memory_used_mb,time_seconds
decryption,2,100KB file,32.7,10348.91796875,0.003893613815307617
decryption,3,100KB file,18.8,10348.53515625,0.0012111663818359375
decryption,4,100KB file,2.1,10348.31640625,0.0012276172637939453
decryption,5,100KB file,30.6,10347.12890625,0.001695394515991211
decryption,6,100KB file,4.1,10346.65625,0.0013616085052490234
decryption,7,100KB file,32.7,10356.25390625,0.0011970996856689453
decryption,8,100KB file,2.0,10355.87109375,0.0011935234069824219
decryption,9,100KB file,14.3,10354.50390625,0.0012671947479248047
decryption,10,100KB file,11.8,10354.0078125,0.0017528533935546875
decryption,11,100KB file,4.0,10352.8359375,0.0011916160583496094
decryption,12,100KB file,19.6,10351.890625,0.0012311935424804688
decryption,13,100KB file,0.0,10358.17578125,0.001203298568725586
decryption,14,100KB file,27.6,10357.6875,0.0011713504791259766
decryption,15,100KB file,2.0,10356.3203125,0.0018839836120605469
decryption,16,100KB file,25.0,10358.29296875,0.0011992454528808594
decryption,17,100KB file,10.0,10357.0234375,0.0012097358703613281
decryption,18,100KB file,2.0,10356.16796875,0.0012049674987792969
decryption,19,100KB file,18.8,10355.23828125,0.0014338493347167969
decryption,20,100KB file,83.9,10361.0234375,0.001209259033203125
decryption,21,100KB file,34.6,10361.6484375,0.0012767314910888672
decryption,22,100KB file,9.3,10361.67578125,0.0012028217315673828
decryption,23,100KB file,45.1,10362.4140625,0.0015974044799804688
decryption,24,100KB file,4.5,10362.78125,0.0012209415435791016
decryption,25,100KB file,31.4,10372.6953125,0.0011990070343017578
decryption,26,100KB file,8.3,10372.1484375,0.0014524459838867188
decryption,27,100KB file,50.0,10369.078125,0.005215167999267578
decryption,28,100KB file,28.0,10368.75,0.0014231204986572266
decryption,29,100KB file,26.8,10376.07421875,0.0012736320495605469
decryption,30,100KB file,36.0,10375.3046875,0.0012943744659423828
decryption,31,100KB file,7.3,10378.015625,0.0012035369873046875
decryption,32,100KB file,30.4,10377.49609375,0.0012123584747314453
decryption,33,100KB file,3.9,10376.49609375,0.0012416839599609375
decryption,34,100KB file,26.8,10377.34375,0.0011820793151855469
decryption,35,100KB file,11.1,10375.078125,0.0035114288330078125
decryption,36,100KB file,34.0,10372.84765625,0.0016503334045410156
decryption,37,100KB file,22.0,10371.59765625,0.0012004375457763672
decryption,38,100KB file,0.0,10371.6796875,0.0012297630310058594
decryption,39,100KB file,30.6,10371.86328125,0.0014531612396240234
decryption,40,100KB file,7.7,10372.015625,0.0012335777282714844
decryption,41,100KB file,52.6,10371.80859375,0.0016236305236816406
decryption,42,100KB file,74.0,10372.83203125,0.0013210773468017578
decryption,43,100KB file,68.4,10379.73046875,0.0021898746490478516
decryption,44,100KB file,20.8,10376.234375,0.0012364387512207031
decryption,45,100KB file,28.6,10374.4296875,0.0028340816497802734
decryption,46,100KB file,6.1,10374.2421875,0.0012269020080566406
decryption,47,100KB file,8.2,10373.8984375,0.0012369155883789062
decryption,48,100KB file,31.2,10372.609375,0.0013599395751953125
decryption,49,100KB file,3.8,10372.5625,0.00122833251953125
decryption,50,100KB file,50.0,10372.66015625,0.0012111663818359375
